,Names,Total_shipped,Total_sales
7,Learn with Pokémon: Typing Adventure,,0.29m
8,Feel the Magic XY/XX,,0.29m
9,Neopets Puzzle Adventure,,0.29m
10,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,,0.29m
11,Power Pro Kun Pocket 11,,0.29m
12,Sesame Street: Elmo's A-to-Zoo Adventure,,0.29m
13,Bratz: Super Babyz,,0.28m
14,Baby Pals,,0.28m
15,Jewel Quest Mysteries: Curse of the Emerald Tear,,0.28m
16,Harvest Moon DS Cute (US sales),,0.28m
17,Junior Brain Trainer 2,,0.28m
18,Assassin's Creed II: Discovery,,0.28m
19,All Star Cheer Squad,,0.28m
20,Bratz Ponyz,,0.28m
21,Kung Zhu,,0.28m
22,Cake Mania 2: Jill's Next Adventure!,,0.28m
23,Surf's Up,,0.28m
24,The Urbz: Sims In the City (US weekly sales),,0.28m
25,Mega Man ZX,,0.28m
26,Tom and Jerry Tales,,0.28m
27,Shrek: Ogres & Dronkeys,,0.28m
28,Yu-Gi-Oh! World Championship 2008,,0.28m
29,Wappy Dog,,0.28m
30,Puyo Puyo! 15th Anniversary,,0.28m
31,SD Gundam G Generation: Cross Drive,0.28m,
32,Over the Hedge,,0.28m
33,Hot Wheels: Track Attack,,0.27m
34,Pinkalicious,,0.27m
35,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,,0.27m
36,iCarly 2: iJoin The Click!,,0.27m
37,Pac-Pix,,0.27m
38,Monopoly,,0.27m
39,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,0.27m,
40,Beyblade: Metal Masters,,0.27m
41,Ratatouille: Food Frenzy,,0.27m
42,Sesame Street: Cookie's Counting Carnival,,0.27m
43,Megamind: The Blue Defender,,0.27m
44,Wipeout 2,,0.27m
45,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,,0.27m
46,Littlest Pet Shop: Beach Friends,,0.27m
47,Boogie,,0.27m
48,Assassin's Creed: Altair's Chronicles,,0.27m
49,Reader Rabbit Kindergarten,,0.27m
0,Suikoden Tierkreis Read the review,,0.27m
1,Super Collapse! 3,,0.27m
2,Need for Speed: Most Wanted,,0.27m
3,Battle of Giants: Mutant Insects,,0.27m
4,My Japanese Coach,,0.27m
5,America's Test Kitchen: Let's Get Cooking,,0.27m
6,Fish Tycoon,,0.26m
7,Etrian Odyssey II: Heroes of Lagaard,,0.26m
8,Love Plus,,0.26m
9,Family Feud: 2010 Edition,,0.26m
10,DS Bungaku Zenshuu,,0.26m
11,Ace Attorney Investigations 2,,0.26m
12,TouchMaster 3(Others sales),,0.26m
13,Call of Duty: Modern Warfare 3: Defiance,,0.26m
14,Babysitting Mania,,0.26m
15,Metroid Prime Pinball,,0.26m
16,Ben 10 Triple Pack,,0.26m
17,The Penguins of Madagascar,,0.26m
18,Resident Evil: Deadly Silence Read the review,,0.26m
19,Bratz Ponyz 2,,0.26m
20,Rayman DS,,0.26m
21,Madden NFL 08,,0.26m
22,Polarium,,0.26m
23,Nancy Drew: The Mystery of the Clue Bender Society,,0.26m
24,Pirates of the Caribbean: Dead Man's Chest,,0.26m
25,Madden NFL 2005,,0.26m
26,Smart Girl's Playhouse,,0.25m
27,The Suite Life of Zack & Cody: Tipton Trouble,,0.25m
28,Michael Jackson: The Experience,,0.25m
29,Scrabble,,0.25m
30,Beyblade: Metal Fusion,,0.25m
31,Imagine: Ballet Star,,0.25m
32,Animal Paradise,,0.25m
33,My Virtual Tutor: Reading Adventure Kindergarten to First,,0.25m
34,The Backyardigans,,0.25m
35,Freshly-Picked: Tingle's Rosy Rupeeland Read the review,,0.25m
36,Indiana Jones and the Staff of Kings,,0.25m
37,Littlest Pet Shop: Country Friends,,0.25m
38,Transformers: War for Cybertron -- Autobots,,0.25m
39,Tales of Hearts,,0.24m
40,That's So Raven: Psychic on the Scene,,0.24m
41,Tongari Boushi to Oshare na Mahou Tsukai,,0.24m
42,Percy Jackson and the Olympians: The Lightning Thief,,0.24m
