,Names,Total_shipped,Total_sales
28,Langrisser: Re:Incarnation Tensei,,0.04m
29,Idol Time PriPara: Yume All-Star Live!,,0.04m
30,DoraMoji: Nobita no Kanji Daisakusen,,0.04m
31,Horses 3D,,0.04m
32,Hana to Ikimono Rittai Zukan,,0.04m
33,Doki Doki! Pretty Cure Narikiri Life!,,0.04m
34,Gravity Falls: Legend of the Gnome Gemulets,,0.04m
35,One Piece: Great Pirate Colosseum,,0.04m
36,Bella Sara 2 - The Magic of Drasilmare,,0.04m
37,Cube Creator DX,,0.04m
38,UnchainBlades ReXX,,0.04m
39,Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,,0.04m
40,Time Travelers,,0.04m
41,Thomas and Friends: Steaming around Sodor,,0.04m
42,Dream Girl Premier,,0.04m
43,The Croods: Prehistoric Party!,,0.04m
44,Phoenix Wright: Ace Attorney Trilogy,,0.04m
45,Famicom Remix Best Choice,,0.04m
46,Sushi Striker: The Way of Sushido,,0.04m
47,Romance of the Three Kingdoms II,,0.04m
48,Kawaii Pet to Kurasou! Wan Nyan & Mini Mini Animal,,0.04m
49,Aikatsu Stars! My Special Appeal,,0.04m
0,Gudetama: Hanjuku de Tanomuwa,,0.04m
1,Medarot 9: Kabuto Ver. / Kuwagata Ver.,,0.04m
2,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,,0.04m
3,Attack on Titan: Escape from Certain Death,,0.04m
4,Doraemon the Movie: Nobita no Nankyoku Kachikochi Daibouken,,0.04m
5,Detective Conan: Phantom Rhapsody,,0.04m
6,Paddington: Adventures in London,,0.04m
7,FabStyle,,0.03m
8,Inazuma Eleven 3: Team Ogre Attacks!,,0.03m
9,Deer Drive: Legends,,0.03m
10,Angler's Club: Ultimate Bass Fishing 3D,,0.03m
11,Metal Gear Solid: Snake Eater 3D,,0.03m
12,Shifting World,,0.03m
13,Lego City Undercover: The Chase Begins,,0.03m
14,Romance of the Three Kingdoms V,,0.03m
15,Sayonara Umihara Kawase,,0.03m
16,Barbie and Her Sisters Puppy Rescue,,0.03m
17,Future Card Buddyfight Mezase! Buddy Champion!,,0.03m
18,Tamagotchi no Doki Doki Dream Omisecchi,,0.03m
19,Toushin Toshi,,0.03m
20,Beyond the Labyrinth,,0.03m
21,Cooking Mama 5,,0.03m
22,Toriko: Ultimate Survival,,0.03m
23,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,,0.03m
24,Disney Epic Mickey: The Power of Illusion Read the review,,0.03m
25,Power Rangers Super Megaforce,,0.03m
26,Zero Escape: Virtue's Last Reward,,0.03m
27,HappinessCharge PreCure! Kawarun Collection,,0.03m
28,100% Pascal Sensei: Kanpeki Paint Bombers,,0.03m
29,Puyo Puyo Chronicle,,0.03m
30,Young Justice: Legacy,,0.03m
31,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,,0.03m
32,Azada,,0.03m
33,Teddy Together,,0.03m
34,Medabots Classics: Metabee Ver. / Rokusho Ver.,,0.03m
35,Azure Striker Gunvolt: Striker Pack,,0.03m
36,The Peanuts Movie: Snoopy's Grand Adventure,,0.03m
37,Pro Evolution Soccer 2012,,0.03m
38,Shin Megami Tensei: Devil Survivor Overclocked Read the review,,0.03m
39,Nekketsu Kouha Kunio-Kun SP Kyousoukyoku,,0.03m
40,River City Ransom SP,,0.03m
41,Niko Puchi Girls Runway,,0.03m
42,The Legend of Korra A New Era Begins,,0.03m
43,Doraemon: Nobita no Takarajima,,0.03m
44,Akogare Girls Collection: Wan Nyan Doubutsu Byouin - Suteki na Juui-San ni Narou!,,0.03m
45,Osomatsu-San: Matsu Matsuri!,,0.02m
46,Manga-ka Debut Monogatari: Suteki na Manga o Egakou,,0.02m
47,Sousaku Alice to Oujisama!,,0.02m
48,Heavy Fire: The Chosen Few 3D,,0.02m
49,UnchainBlades EXXiV,,0.02m
0,Jake Hunter: Round of Revenge,,0.02m
